f,S
19999999.9895226,0.180456153866699-0.932962085596876i
20005952.3922391,0.178100775670509-0.931956277665234i
20011904.7658518,0.175987659059702-0.931786788708186i
20017857.1394645,0.175066791036745-0.933020015639085i
20023809.5130771,0.172751300004718-0.932772380853443i
20029761.9157936,0.171468519178805-0.932355707870148i
20035714.2894063,0.171840073330396-0.931633271379743i
20041666.663019,0.168825366338745-0.930667012200218i
20047619.0366317,0.167406684166183-0.930880600315059i
20053571.4393482,0.167875430098289-0.931424323975117i
20059523.8129608,0.165101236748272-0.931869126227448i
20065476.1865735,0.164073830214517-0.930364158126249i
20071428.5601862,0.163369918584002-0.929768644201062i
20077380.9629027,0.162228760691627-0.929315060984674i
20083333.3365154,0.159250971713792-0.932548132530766i
20089285.710128,0.157446825795899-0.929485541395703i
20095238.0837407,0.155903400560402-0.930211594635337i
20101190.4864572,0.156019712165817-0.930468003918972i
20107142.8600699,0.152568700313731-0.928181718251851i
20113095.2336825,0.151544454041204-0.927919652304356i
20119047.6072952,0.150346778610403-0.928682592193837i
20125000.0100117,0.148267297967238-0.92777656759941i
20130952.3836244,0.148502861265751-0.928598043739124i
20136904.7572371,0.144950571950487-0.928644316504848i
20142857.1308497,0.144586912061392-0.927391831829215i
20148809.5335662,0.142917210755298-0.93036332677353i
20154761.9071789,0.142411071888813-0.928426927061071i
20160714.2807916,0.141439339966283-0.927762831922511i
20166666.6544043,0.140455151564959-0.927407457593402i
20172619.0571208,0.137032874579633-0.928338025148078i
20178571.4307334,0.134064886593232-0.927956321170675i
20184523.8043461,0.134340543355166-0.928400938586494i
20190476.1779588,0.133663337324765-0.927419022686206i
20196428.5806753,0.130695035657294-0.926175581504321i
20202380.9542879,0.127309379391632-0.927545382075289i
20208333.3279006,0.127142276313838-0.926607317846474i
20214285.7015133,0.125493144027829-0.925649769323757i
20220238.1042298,0.123252769336364-0.9250190496338i
20226190.4778425,0.122454166257235-0.927301855290953i
20232142.8514551,0.12147821786632-0.924374770874075i
20238095.2250678,0.118722337704395-0.923793327088845i
20244047.6277843,0.118472079426658-0.925463228234779i
20250000.001397,0.115724148448899-0.92554694415828i
20255952.3750097,0.115110528525636-0.925693340465071i
20261904.7486223,0.113419259680028-0.925798071600438i
20267857.1513388,0.112893278827049-0.923868976322396i
20273809.5249515,0.110240435031091-0.92483077233232i
20279761.8985642,0.11004567769307-0.923118599363034i
20285714.2721768,0.108844787197519-0.922285543228058i
20291666.6748933,0.103784742476365-0.92293649479447i
20297619.048506,0.102141612631592-0.922426267028146i
20303571.4221187,0.101143150995606-0.921584879008396i
20309523.7957314,0.0993333380272678-0.924116197298927i
20315476.1984479,0.0963363380445022-0.920863287927652i
20321428.5720605,0.0951844518287146-0.922020242190403i
20327380.9456732,0.0929509060600168-0.920756955006318i
20333333.3192859,0.0942368488287112-0.922225995698571i
20339285.7220024,0.0917588942982177-0.920729835989332i
20345238.0956151,0.0878928172765686-0.920017402720607i
20351190.4692277,0.085338142723893-0.91855427001281i
20357142.8428404,0.0839349445993374-0.919414112526805i
20363095.2455569,0.0797783181255575-0.918715290684984i
20369047.6191696,0.0802851405209826-0.918775670140548i
20374999.9927823,0.0791493776419404-0.916119192865573i
20380952.3954988,0.0770426556834014-0.918395675006163i
20386904.7691114,0.0762875762781674-0.916638046829574i
20392857.1427241,0.072894818173255-0.917023739514373i
20398809.5163368,0.0724179730402277-0.916182740828208i
20404761.9190533,0.0699423595452977-0.915871872140858i
20410714.2926659,0.0678004718152497-0.914965820675352i
20416666.6662786,0.0640069143579003-0.915820950936775i
20422619.0398913,0.0633487122283037-0.912717986362973i
20428571.4426078,0.0603385466536643-0.912305377757239i
20434523.8162205,0.0581116526422806-0.913354711234506i
20440476.1898331,0.0561524647310327-0.912238652124984i
20446428.5634458,0.05407459919382-0.911488486763726i
20452380.9661623,0.0533998914804133-0.910279601048232i
20458333.339775,0.0489340770308265-0.909187585166596i
20464285.7133877,0.0477324211349495-0.910031972539097i
20470238.0870003,0.0462476597365845-0.908428856588992i
20476190.4897168,0.045471187591089-0.908053334270918i
20482142.8633295,0.0427183642294758-0.906461056572458i
20488095.2369422,0.0397856594431097-0.908654141579011i
20494047.6105548,0.0389693448041799-0.905204125139859i
20500000.0132713,0.0367939271406536-0.905398288017078i
20505952.386884,0.0338678296194443-0.903774361937682i
20511904.7604967,0.0308163016492553-0.903927764952872i
20517857.1341094,0.0284239200043521-0.904383619053787i
20523809.5368259,0.027635707677997-0.901715580723825i
20529761.9104385,0.0259287320039991-0.902068597030021i
20535714.2840512,0.0233057482697078-0.903061619151597i
20541666.6576639,0.0195210246376785-0.899782981342716i
20547619.0603804,0.0188372811529705-0.899164843411395i
20553571.4339931,0.0138923186401682-0.900280031560193i
20559523.8076057,0.0121003956234089-0.898344960475518i
20565476.1812184,0.0109671462380674-0.897023402317i
20571428.5839349,0.00825693363044502-0.897012661119494i
20577380.9575476,0.00677222433043488-0.894341420807187i
20583333.3311602,0.00391633104889222-0.895663119674794i
20589285.7047729,0.00180433458509039-0.891556291704236i
20595238.1074894,-0.000324466030607852-0.891458993328918i
20601190.4811021,-0.00219174606616121-0.890853189664851i
20607142.8547148,-0.00639780263292618-0.890915246313613i
20613095.2283274,-0.00851087667093237-0.887877045942304i
20619047.6310439,-0.0116024230575812-0.886659093784759i
20625000.0046566,-0.0138887812006113-0.885847112641996i
20630952.3782693,-0.0174748452068074-0.884348864365539i
20636904.751882,-0.0207688874646564-0.882010351526106i
20642857.1545985,-0.0216955628663191-0.882441847589462i
20648809.5282111,-0.0245565128768842-0.882572693994111i
20654761.9018238,-0.0270234309660155-0.880992331401384i
20660714.2754365,-0.0300693087826996-0.878581627639123i
20666666.678153,-0.0332800157030526-0.874886927670252i
20672619.0517657,-0.0357162966147569-0.875332051109788i
20678571.4253783,-0.0371267091599829-0.872899892084706i
20684523.798991,-0.0412398592069224-0.872999517534104i
20690476.2017075,-0.043331440492811-0.870371714423636i
20696428.5753202,-0.0460837990239085-0.868594340589385i
20702380.9489328,-0.0473808693666889-0.86648061717351i
20708333.3225455,-0.0523228752133255-0.865320932902507i
20714285.725262,-0.0540430322355543-0.864387603506777i
20720238.0988747,-0.0580557906408694-0.862234255342367i
20726190.4724874,-0.0588054974225968-0.860787818283838i
20732142.8461,-0.0616955424349821-0.860545191871835i
20738095.2488165,-0.0641672038796541-0.857632148130064i
20744047.6224292,-0.0679597343822602-0.857973755818081i
20749999.9960419,-0.0701149579863836-0.855032285170225i
20755952.3696546,-0.0738335074563196-0.853342588165191i
20761904.7723711,-0.0774209067914829-0.849496872701939i
20767857.1459837,-0.0793910404277694-0.848015645585913i
20773809.5195964,-0.0820361223156036-0.846695871016319i
20779761.8932091,-0.0868684000971121-0.845586401318368i
20785714.2959256,-0.0874555122187165-0.843188342248564i
20791666.6695382,-0.0929451098888762-0.842672055649773i
20797619.0431509,-0.0945879565763673-0.839621096639251i
20803571.4167636,-0.0946840029046652-0.837032616329306i
20809523.8194801,-0.0995468941607741-0.834336595909605i
20815476.1930928,-0.103262921218964-0.831168723519i
20821428.5667054,-0.108841945024679-0.82894112347229i
20827380.9403181,-0.108187914677699-0.829336314728357i
20833333.3430346,-0.112098703853208-0.825430369929694i
20839285.7166473,-0.116129401151516-0.822921574401404i
20845238.09026,-0.118210689736282-0.820783190685119i
20851190.4638726,-0.124293001399673-0.817928085650117i
20857142.8665891,-0.126997564015552-0.814337021614031i
20863095.2402018,-0.128583412297745-0.812626629767712i
20869047.6138145,-0.132100153238013-0.808514783317242i
20874999.9874271,-0.135683769432776-0.805188884962912i
20880952.3901436,-0.13932507500826-0.80220066700926i
20886904.7637563,-0.14218749166141-0.79821098449681i
20892857.137369,-0.14524514794085-0.797041165443284i
20898809.5109817,-0.148892975135953-0.794177649830086i
20904761.9136982,-0.15168511495373-0.791347005931362i
20910714.2873108,-0.153557890573381-0.787927737594054i
20916666.6609235,-0.158928682940227-0.782068843037789i
20922619.0345362,-0.161490625989974-0.779322976737235i
20928571.4372527,-0.16580128969427-0.776966707933998i
20934523.8108654,-0.168642294135077-0.773786888573538i
20940476.184478,-0.172713236435209-0.770482722665195i
20946428.5580907,-0.174573502187787-0.766994443805653i
20952380.9608072,-0.178011761622385-0.76329420440826i
20958333.3344199,-0.180856238499289-0.75869885671302i
20964285.7080325,-0.182627715757924-0.755201455522434i
20970238.0816452,-0.186679278330161-0.75089773862258i
20976190.4843617,-0.191094868253053-0.746912905733123i
20982142.8579744,-0.195195175843324-0.743287340196942i
20988095.2315871,-0.196736802011172-0.7392151676059i
20994047.6051997,-0.200853176071811-0.731570445896644i
21000000.0079162,-0.204987506380218-0.729051616548735i
21005952.3815289,-0.207887916810382-0.725224622606308i
21011904.7551416,-0.210322303130161-0.719815295258294i
21017857.1287543,-0.213973714864735-0.715007411163976i
21023809.5314708,-0.214762932636215-0.71109857889018i
21029761.9050834,-0.220775792114712-0.704873547848291i
21035714.2786961,-0.2223077359007-0.700156446694229i
21041666.6523088,-0.225579312470479-0.695187921474343i
21047619.0550253,-0.228272095546173-0.690523658041246i
21053571.428638,-0.232366203244147-0.683959315878061i
21059523.8022506,-0.236134362011439-0.68098033612348i
21065476.2049671,-0.238370997143382-0.672613349041267i
21071428.5785798,-0.241200643116795-0.667558517512643i
21077380.9521925,-0.243943814768603-0.662446329549717i
21083333.3258051,-0.246568561982166-0.655836632184272i
21089285.7285216,-0.250521992808252-0.649428127715644i
21095238.1021343,-0.253334768086284-0.645526156415637i
21101190.475747,-0.255093308154018-0.637096750424875i
21107142.8493597,-0.256398846998936-0.631766943746834i
21113095.2520762,-0.258215346859065-0.626786736206449i
21119047.6256888,-0.262987441362649-0.618478551851181i
21124999.9993015,-0.264765688901489-0.611570735891238i
21130952.3729142,-0.267152261968386-0.604721599992614i
21136904.7756307,-0.269242479060322-0.597420476936256i
21142857.1492434,-0.271424295939073-0.590319373292309i
21148809.522856,-0.27338887367352-0.582630976658484i
21154761.8964687,-0.275841452223409-0.576224180639092i
21160714.2991852,-0.2768352202899-0.568602409115944i
21166666.6727979,-0.280146684170157-0.560371591795717i
21172619.0464105,-0.280242584748519-0.55270198063037i
21178571.4200232,-0.281763502623185-0.544367281907381i
21184523.8227397,-0.284180866842925-0.536537200606967i
21190476.1963524,-0.285968614098428-0.528374992200266i
21196428.5699651,-0.286712905620071-0.520514684281897i
21202380.9435777,-0.285772829066104-0.511576699777803i
21208333.3462942,-0.288973851768832-0.502851409646311i
21214285.7199069,-0.290942842592321-0.494939098407167i
21220238.0935196,-0.290315836593743-0.485010115776721i
21226190.4671323,-0.289434340341398-0.476855249804701i
21232142.8698488,-0.290042622234668-0.466456003388781i
21238095.2434614,-0.290775283325885-0.457996296568802i
21244047.6170741,-0.291778617075063-0.44889713957319i
21249999.9906868,-0.289836057835283-0.440599381308609i
21255952.3934033,-0.290868612023562-0.430934176136812i
21261904.7670159,-0.289852769455305-0.420304695684417i
21267857.1406286,-0.288737562937118-0.411392281698958i
21273809.5142413,-0.28798958511163-0.400871794225982i
21279761.9169578,-0.286763261607722-0.392098465864216i
21285714.2905705,-0.284770545434839-0.381992148810778i
21291666.6641831,-0.284106279661962-0.371782577024204i
21297619.0377958,-0.281468764288761-0.361667508326431i
21303571.4405123,-0.280379849700411-0.352104752818436i
21309523.814125,-0.277861522992083-0.341752083732022i
21315476.1877377,-0.274717984609341-0.331367675390928i
21321428.5613503,-0.271152390917059-0.319772250697503i
21327380.9640668,-0.268952403481107-0.311597910032995i
21333333.3376795,-0.264449566726442-0.300848565079788i
21339285.7112922,-0.261719090981813-0.290069846702411i
21345238.0849048,-0.25888096201812-0.278833190311242i
21351190.4876214,-0.252814356865753-0.269025732283761i
21357142.861234,-0.248791679424641-0.258328092545919i
21363095.2348467,-0.244137967655721-0.248216768916769i
21369047.6084594,-0.238180426464589-0.238543871726146i
21375000.0111759,-0.233039072078959-0.226705421273028i
21380952.3847885,-0.226759976236083-0.218125250945566i
21386904.7584012,-0.221221753957647-0.207458771122744i
21392857.1320139,-0.213843537654058-0.197537475942119i
21398809.5347304,-0.207290422916203-0.188567072878388i
21404761.9083431,-0.201646731346589-0.17776845900278i
21410714.2819557,-0.192749968641234-0.168480861593165i
21416666.6555684,-0.185642642141257-0.159191187869609i
21422619.0582849,-0.178120738296984-0.149117197918682i
21428571.4318976,-0.170197887244319-0.139248031273144i
21434523.8055103,-0.161411059562775-0.130356833362167i
21440476.1791229,-0.152947966715228-0.12266165018334i
21446428.5818394,-0.144718588330913-0.112438949550433i
21452380.9554521,-0.134511038568058-0.104062983889326i
21458333.3290648,-0.124177052633699-0.0949036419594247i
21464285.7026774,-0.115172408637388-0.0876789452460573i
21470238.1053939,-0.105369058431401-0.0795796385090196i
21476190.4790066,-0.0951702663594395-0.0732288101385907i
21482142.8526193,-0.0835584691042391-0.0643615603119935i
21488095.226232,-0.0736275363763485-0.0588647031833531i
21494047.6289485,-0.061771102988281-0.0505509454921741i
21500000.0025611,-0.0524276603869748-0.0436655414361318i
21505952.3761738,-0.0405573655742346-0.0386564450953004i
21511904.7497865,-0.0287659577402494-0.0325047893604833i
21517857.152503,-0.0168172430339203-0.0263499138269129i
21523809.5261157,-0.00441429011248149-0.0217137390094238i
21529761.8997283,0.00845640490847873-0.016623672236752i
21535714.273341,0.0204913084341051-0.0131319566204647i
21541666.6760575,0.0327008245260941-0.00824787451329831i
21547619.0496702,0.0449660555157576-0.00439627613425557i
21553571.4232828,0.0574272291997651-0.000604726471951929i
21559523.7968955,0.0695388610305256+0.0026939293142696i
21565476.199612,0.0810115606040523+0.00389248415747068i
21571428.5732247,0.0961509209649001+0.00598917077700914i
21577380.9468374,0.108262259880923+0.00948885970518821i
21583333.32045,0.121291613312295+0.01195736655982i
21589285.7231665,0.133263822599659+0.0110870709382677i
21595238.0967792,0.147703837466395+0.0140844363927237i
21601190.4703919,0.158094621956728+0.0136853977130449i
21607142.8440046,0.170308150043307+0.0129054232294032i
21613095.2467211,0.184421305851372+0.0136057968648087i
21619047.6203337,0.196822361325856+0.0126640916651039i
21624999.9939464,0.210228819802356+0.0121466261499857i
21630952.3675591,0.219829746649767+0.0122784298184065i
21636904.7702756,0.234927059336221+0.00999649223546899i
21642857.1438882,0.245273508657406+0.0103801146725829i
21648809.5175009,0.256816772863307+0.00706436861237517i
21654761.8911136,0.270236870374729+0.00465192739202414i
21660714.2938301,0.280852498852567+0.0013688772858665i
21666666.6674428,0.293139169599116+0.00150699342063203i
21672619.0410554,0.304372223247755-0.00407709879252279i
21678571.4146681,0.316299699374231-0.00791382061501019i
21684523.8173846,0.327920006022812-0.0117088902347978i
21690476.1909973,0.337664292578717-0.0156947453750349i
21696428.56461,0.349960637696742-0.0194856461326092i
21702380.9382226,0.358882892236888-0.0237317772567467i
21708333.3409391,0.369251633046618-0.0278696317753295i
21714285.7145518,0.379979743261142-0.0338675532148552i
21720238.0881645,0.390364949902962-0.0378108020737349i
21726190.4617772,0.399387606364799-0.0433636635783798i
21732142.8644937,0.40860932918002-0.0477610986009784i
21738095.2381063,0.417352656749093-0.0538936389397548i
21744047.611719,0.42644035359349-0.0609664662621698i
21750000.0144355,0.435715482533311-0.066565532003992i
21755952.3880482,0.444731100523995-0.0719149754156298i
21761904.7616608,0.452777923236049-0.0783116683012173i
21767857.1352735,0.461322919594628-0.0846268017690081i
21773809.53799,0.468808647311716-0.0893161077717023i
21779761.9116027,0.476004583982883-0.094783541461849i
21785714.2852154,0.482849745591715-0.10162196502386i
21791666.658828,0.491490063560355-0.109819388673737i
21797619.0615445,0.49655551331053-0.115339585839467i
21803571.4351572,0.503292569311472-0.123082581079937i
21809523.8087699,0.510136906902734-0.127815748238295i
21815476.1823826,0.5179992344485-0.136632672998673i
21821428.5850991,0.523721473314293-0.140404566806301i
21827380.9587117,0.528975123599121-0.148565629421123i
21833333.3323244,0.534369203809015-0.154664778142402i
21839285.7059371,0.540725188297001-0.162712622745048i
21845238.1086536,0.546258529990277-0.17019265172989i
21851190.4822662,0.550347176688169-0.176197318966539i
21857142.8558789,0.554797805025224-0.183709699929534i
21863095.2294916,0.558343618562213-0.191496981128668i
21869047.6322081,0.566216766731838-0.198732834358411i
21875000.0058208,0.567203310748541-0.203260733351451i
21880952.3794334,0.57381781823474-0.211712310797699i
21886904.7530461,0.577856232000466-0.218128891772166i
21892857.1557626,0.580594837313167-0.225347478858731i
21898809.5293753,0.583076084165793-0.23160795595933i
21904761.902988,0.587016950325853-0.239525849605119i
21910714.2766006,0.590837235401517-0.24673880367381i
21916666.6793171,0.592536005621413-0.254366207772814i
21922619.0529298,0.597809676998404-0.261351194575018i
21928571.4265425,0.599561177543535-0.266997405083297i
21934523.8001551,0.603868561761613-0.272138215844248i
21940476.2028717,0.60768942642748-0.279280066455596i
21946428.5764843,0.608678925206592-0.287167153280772i
21952380.950097,0.608734777513864-0.293853671993052i
21958333.3237097,0.61144998520303-0.298624383693198i
21964285.7264262,0.614299372242138-0.306143973926107i
21970238.1000388,0.617322100034615-0.312539645020706i
21976190.4736515,0.618562331599455-0.319627299143235i
21982142.8472642,0.619684866630095-0.32724591644437i
21988095.2499807,0.621847568402155-0.332531002446457i
21994047.6235934,0.62319477250876-0.339445491105303i
21999999.997206,0.624013130457826-0.343523678290551i
22005952.3708187,0.625439193831656-0.351198210707618i
22011904.7735352,0.626832262918048-0.356005159987456i
22017857.1471479,0.627514598276609-0.363225727339494i
22023809.5207606,0.627425075413537-0.369803279185427i
22029761.8943732,0.629028413920751-0.372542558693778i
22035714.2970897,0.629663925508891-0.380409346604558i
22041666.6707024,0.629749936168492-0.383567290732948i
22047619.0443151,0.629852267565449-0.392567287755353i
22053571.4179277,0.631265292438533-0.39782168365781i
22059523.8206442,0.631821682194022-0.402868543621601i
22065476.1942569,0.632771971019038-0.406821972416867i
22071428.5678696,0.630224827201557-0.411639306961482i
22077380.9414823,0.631191264384159-0.417126023651314i
22083333.3441988,0.632864149550715-0.423568542010967i
22089285.7178114,0.631858390538773-0.427830367428114i
22095238.0914241,0.630778289830264-0.435059358059552i
22101190.4650368,0.632151957850946-0.43792979514026i
22107142.8677533,0.630589266159088-0.443720865710946i
22113095.241366,0.631913304725982-0.447030711039858i
22119047.6149786,0.631334663369208-0.452077360418953i
22124999.9885913,0.629643459071567-0.457398561609265i
22130952.3913078,0.628905581491962-0.460162840435754i
22136904.7649205,0.629102386878399-0.464945137271568i
22142857.1385331,0.628855045905842-0.470598855435365i
22148809.5121458,0.627207046925862-0.47412015512115i
22154761.9148623,0.628439013917319-0.480259797059087i
22160714.288475,0.627655278426656-0.48351247732626i
22166666.6620877,0.624473120325665-0.488898237450582i
22172619.0357003,0.625011322712835-0.491013758543425i
22178571.4384168,0.622700054468839-0.497667006066579i
22184523.8120295,0.622859992216822-0.500815641290586i
22190476.1856422,0.622178631613668-0.504126393839805i
22196428.5592549,0.621084679845413-0.508583027491995i
22202380.9619714,0.62069472360921-0.514238746599388i
22208333.335584,0.620263348374004-0.515781263637828i
22214285.7091967,0.618258973227506-0.520459037134549i
22220238.0828094,0.614858153376031-0.523995368566144i
22226190.4855259,0.61504752008693-0.526021076435565i
22232142.8591385,0.614957584202622-0.532196824858221i
22238095.2327512,0.610964156567235-0.533715512763167i
22244047.6063639,0.610911223874212-0.537827204850573i
22250000.0090804,0.610738738137606-0.542241929921655i
22255952.3826931,0.610679803437953-0.542846834438591i
22261904.7563057,0.60701119705056-0.54818095852896i
22267857.1299184,0.605878077532265-0.550468072880245i
22273809.5326349,0.603164735915907-0.55285608400912i
22279761.9062476,0.603846109639549-0.557011628910034i
22285714.2798603,0.600225354814479-0.558081400192622i
22291666.6534729,0.599731395685228-0.561800908689422i
22297619.0561894,0.600355664656776-0.562773430833012i
22303571.4298021,0.596435242265079-0.568808274578619i
22309523.8034148,0.596155105557576-0.571174313890101i
22315476.1770274,0.592404912487582-0.572440366523862i
22321428.579744,0.589600257003399-0.57404434620677i
22327380.9533566,0.590628816672012-0.575611510868497i
22333333.3269693,0.590062521735784-0.580682800655932i
22339285.700582,0.58659365395259-0.579474715747021i
22345238.1032985,0.585381633415315-0.580646304266416i
22351190.4769111,0.584376425028097-0.58492960579972i
22357142.8505238,0.583529515897779-0.586252010585067i
22363095.2241365,0.581946231907977-0.589404501438786i
22369047.626853,0.580478834321963-0.59190567542849i
22375000.0004657,0.579302304813783-0.591518200926347i
22380952.3740783,0.577639126131539-0.593067694513495i
22386904.747691,0.575791726757868-0.592252008993938i
22392857.1504075,0.575377428332902-0.596021027538358i
22398809.5240202,0.572434616089442-0.597891454889949i
22404761.8976329,0.572480916191287-0.59699269417916i
22410714.2712455,0.57155095475752-0.600088121192518i
22416666.673962,0.570039289251074-0.601613229175579i
22422619.0475747,0.567481714074053-0.601992367145949i
22428571.4211874,0.566457130690284-0.602479582583682i
22434523.8239039,0.564436237440945-0.605976380144715i
22440476.1975165,0.565933495170392-0.604044891703287i
22446428.5711292,0.564022749161925-0.60565452266381i
22452380.9447419,0.565045760954021-0.605820041965249i
22458333.3474584,0.563488120148379-0.606713062367523i
22464285.7210711,0.56310709541503-0.61086643032594i
22470238.0946837,0.562208000188581-0.609502999056353i
22476190.4682964,0.56098659471136-0.609000021198094i
22482142.8710129,0.560418105798173-0.60972921399264i
22488095.2446256,0.560351494943535-0.610514067435906i
22494047.6182383,0.561803000852429-0.613079016364542i
22499999.9918509,0.561257999691431-0.612453038453864i
22505952.3945674,0.560494183561373-0.612294749724545i
22511904.7681801,0.559021391296832-0.615602618926216i
22517857.1417928,0.559836471215722-0.615012779357884i
22523809.5154054,0.561196121257977-0.616686184374542i
22529761.9181219,0.561403471840971-0.617874511365628i
22535714.2917346,0.562174079839963-0.618742161278158i
22541666.6653473,0.561660976786837-0.619676097941507i
22547619.03896,0.56282185322592-0.620360705088117i
22553571.4416765,0.561529501382179-0.623256531036465i
22559523.8152891,0.563818658687932-0.621432286103866i
22565476.1889018,0.563507294405162-0.622407358873045i
22571428.5625145,0.565399395396954-0.62050318206794i
22577380.965231,0.564899417006965-0.625196052327833i
22583333.3388437,0.565932375022172-0.626697823410231i
22589285.7124563,0.567725853843765-0.628178836856389i
22595238.086069,0.567711506992388-0.628051871386784i
22601190.4887855,0.565715003755996-0.63174122640696i
22607142.8623982,0.565784790661224-0.631372192989083i
22613095.2360108,0.567392437593794-0.632974768172645i
22619047.6096235,0.568010700733115-0.634989810008715i
22625000.01234,0.569838448379539-0.637537806074214i
22630952.3859527,0.569685896820192-0.638373481081771i
22636904.7595654,0.568748577955388-0.641187327407836i
22642857.133178,0.572069661917636-0.642075470384743i
22648809.5358945,0.571688956049867-0.644970787856517i
22654761.9095072,0.569482569941908-0.64748722979817i
22660714.2831199,0.571073513654744-0.645902823943493i
22666666.6567326,0.571218210213444-0.64975654970022i
22672619.0594491,0.571573128081425-0.652722248225932i
22678571.4330617,0.574108888728462-0.656008347720148i
22684523.8066744,0.572555658149539-0.658196156502717i
22690476.1802871,0.572754613251686-0.659307962809075i
22696428.5830036,0.572049236416894-0.660927165443705i
22702380.9566163,0.573324936611469-0.663862387998082i
22708333.3302289,0.573651118990529-0.664559743255232i
22714285.7038416,0.573187467698855-0.66830048809664i
22720238.1065581,0.571688664085599-0.668391826861897i
22726190.4801708,0.572130240175565-0.670597561957312i
22732142.8537834,0.570657087469593-0.672724889581304i
22738095.2273961,0.572335134865952-0.67597181016561i
22744047.6301126,0.570972826031829-0.679481216154673i
22750000.0037253,0.570584825865837-0.680148284550919i
22755952.377338,0.571507472027255-0.682567334164485i
22761904.7509506,0.572830742190312-0.684294142158515i
22767857.1536671,0.569262989498043-0.685777675928276i
22773809.5272798,0.569128835809733-0.68855035468289i
22779761.9008925,0.570259801287098-0.689135761498454i
22785714.2745052,0.568955908731893-0.692327643647483i
22791666.6772217,0.569311774681845-0.692969153208252i
22797619.0508343,0.566640476645829-0.694676211821837i
22803571.424447,0.567586526241902-0.698543612821344i
22809523.7980597,0.567783053846125-0.699881632813704i
22815476.2007762,0.564366782261307-0.701179522297004i
22821428.5743888,0.566379900981241-0.702464423051294i
22827380.9480015,0.566176311815556-0.70285082878275i
22833333.3216142,0.565617343864609-0.707073275393827i
22839285.7243307,0.565394469062762-0.707894128195935i
22845238.0979434,0.565597625389971-0.71391416971885i
22851190.471556,0.562097951969831-0.714587555041319i
22857142.8451687,0.562711474400415-0.716407996610172i
22863095.2478852,0.563075549058245-0.716828913220924i
22869047.6214979,0.561536519405619-0.718600925183008i
22874999.9951106,0.558099144089739-0.720113631742897i
22880952.3687232,0.558646445085318-0.721812470018864i
22886904.7714397,0.558226180592546-0.724624951490239i
22892857.1450524,0.558756640843814-0.724515027109348i
22898809.5186651,0.556841124398779-0.727877934398968i
22904761.8922777,0.555752765987708-0.729489376708723i
22910714.2949942,0.555178066069696-0.729679753032715i
22916666.6686069,0.55442466561353-0.732115547001348i
22922619.0422196,0.554093961840955-0.733656394311754i
22928571.4158323,0.551576974110362-0.735971113430434i
22934523.8185488,0.551324339752625-0.736147963013676i
22940476.1921614,0.551315889258538-0.737784237999353i
22946428.5657741,0.550991016443949-0.738902069646045i
22952380.9393868,0.55171942832795-0.739045517671075i
22958333.3421033,0.548656184538476-0.742525488081883i
22964285.715716,0.548845708754152-0.743864313707904i
22970238.0893286,0.547501198742006-0.745388800313221i
22976190.4629413,0.547820263101481-0.746152639355833i
22982142.8656578,0.545156686537143-0.749250680115305i
22988095.2392705,0.544870600505909-0.749409200799791i
22994047.6128832,0.543594168446393-0.750670592354847i
22999999.9864958,0.543850280490888-0.75278782284674i
